player,squad,league,season,transfermarkt_id,reason
Henri Koudossou,Augsburg,de Bundesliga,2024/25,,no matching player
Emmanuel Koum Mbondo,Marseille,fr Ligue 1,2024/25,,no matching player
Boubakar Kouyaté,Montpellier,fr Ligue 1,2024/25,,no matching player
Viktor Kovalenko,Empoli,it Serie A,2024/25,,no matching player
Mateusz Kowalski,Parma,it Serie A,2024/25,,no matching player
Ladislav Krejčí,Girona,es La Liga,2024/25,,no matching player
Moritz-Broni Kwarteng,Bochum,de Bundesliga,2024/25,,no matching player
Giorgos Kyriakopoulos,Monza,it Serie A,2024/25,,no matching player
Gaëtan Laborde,Nice,fr Ligue 1,2024/25,,no matching player
Younes Lachaab,Lille,fr Ligue 1,2024/25,,no matching player
Adam Lallana,Southampton,eng Premier League,2024/25,,no matching player
Mathis Lambourde,Hellas Verona,it Serie A,2024/25,,no matching player
Mohamed Lamine Bayo,Lille,fr Ligue 1,2024/25,,no matching player
Will Lankshear,Tottenham,eng Premier League,2024/25,,no matching player
Cyle Larin,Mallorca,es La Liga,2024/25,,no matching player
Gautier Larsonneur,Saint-Étienne,fr Ligue 1,2024/25,,no matching player
Juanmi Latasa,Valladolid,es La Liga,2024/25,,no matching player
Darko Lazović,Hellas Verona,it Serie A,2024/25,,no matching player
Julien Le Cardinal,Brest,fr Ligue 1,2024/25,,no matching player
Jérémy Le Douaron,Brest,fr Ligue 1,2024/25,,no matching player
Nunzio Lella,Venezia,it Serie A,2024/25,,no matching player
Ben Lhassine Kone,Como,it Serie A,2024/25,,no matching player
Mattia Liberali,Milan,it Serie A,2024/25,,no matching player
Pedro Lima,Wolves,eng Premier League,2024/25,,no matching player
Valentino Livramento,Newcastle Utd,eng Premier League,2024/25,,no matching player
Marin Ljubicic,Union Berlin,de Bundesliga,2024/25,,no matching player
Javier Llabrés,Mallorca,es La Liga,2024/25,,no matching player
Elysée Logbo,Le Havre,fr Ligue 1,2024/25,,no matching player
Enzo Loiodice,Las Palmas,es La Liga,2024/25,,no matching player
Roberto López,Leganés,es La Liga,2024/25,,no matching player
Anthony Losilla,Bochum,de Bundesliga,2024/25,,no matching player
Yannik Lührs,Dortmund,de Bundesliga,2024/25,,no matching player
José Luis Gayà,Valencia,es La Liga,2024/25,,no matching player
Milos Lukovic,Strasbourg,fr Ligue 1,2024/25,,no matching player
Joe Lumley,Southampton,eng Premier League,2024/25,,no matching player
Daniel Luna,Mallorca,es La Liga,2024/25,,no matching player
Massimo Luongo,Ipswich Town,eng Premier League,2024/25,,no matching player
Charalambos Lykogiannis,Bologna,it Serie A,2024/25,,no matching player
Othmane Maamma,Montpellier,fr Ligue 1,2024/25,,no matching player
Eros Maddy,Auxerre,fr Ligue 1,2024/25,,no matching player
Gabriel Magalhães,Arsenal,eng Premier League,2024/25,,no matching player
Edmond-Paris Maghoma,Brentford,eng Premier League,2024/25,,no matching player
Giangiacomo Magnani,Hellas Verona,it Serie A,2024/25,,no matching player
Jon Magunazelaia,Real Sociedad,es La Liga,2024/25,,no matching player
Arne Maier,Augsburg,de Bundesliga,2024/25,,no matching player
Radosław Majecki,Monaco,fr Ligue 1,2024/25,,no matching player
Nikola Maksimović,Montpellier,fr Ligue 1,2024/25,,no matching player
Jarzinho Malanga,Stuttgart,de Bundesliga,2024/25,,no matching player
Aaron Malouda,Lille,fr Ligue 1,2024/25,,no matching player
Hianga Mananga Mbock,Brest,fr Ligue 1,2024/25,,no matching player
Steve Mandanda,Rennes,fr Ligue 1,2024/25,,no matching player
Javier Manquillo,Celta Vigo,es La Liga,2024/25,,no matching player
Alberto Manzoni,Atalanta,it Serie A,2024/25,,no matching player
Óscar de Marcos,Athletic Club,es La Liga,2024/25,,no matching player
Alberto Marí,Valencia,es La Liga,2024/25,,no matching player
Mirko Marić,Monza,it Serie A,2024/25,,no matching player
Mirko Marić,Venezia,it Serie A,2024/25,,no matching player
Arkaitz Mariezkurrena,Real Sociedad,es La Liga,2024/25,,no matching player
Mika Mármol,Las Palmas,es La Liga,2024/25,,no matching player
Mario Maroto,Valladolid,es La Liga,2024/25,,no matching player
Marquinhos,Paris S-G,fr Ligue 1,2024/25,,no matching player
Ange Martial Tia,Reims,fr Ligue 1,2024/25,,no matching player
Diego Martín,Las Palmas,es La Liga,2024/25,,no matching player
Jonas Martin,Brest,fr Ligue 1,2024/25,,no matching player
Javi Martínez,Osasuna,es La Liga,2024/25,,no matching player
Ramón Martínez,Sevilla,es La Liga,2024/25,,no matching player
Kevin Martins,Monza,it Serie A,2024/25,,no matching player
Javi Martón,Athletic Club,es La Liga,2024/25,,no matching player
Marvin,Las Palmas,es La Liga,2024/25,,no matching player
Giorgos Masouras,Bochum,de Bundesliga,2024/25,,no matching player
Erhan Mašović,Bochum,de Bundesliga,2024/25,,no matching player
Jaime Mata,Las Palmas,es La Liga,2024/25,,no matching player
Eliot Matazo,Monaco,fr Ligue 1,2024/25,,no matching player
Jean Mattéo Bahoya,Eint Frankfurt,de Bundesliga,2024/25,,no matching player
Azor Matusiwa,Rennes,fr Ligue 1,2024/25,,no matching player
Stephy Mavididi,Leicester City,eng Premier League,2024/25,,no matching player
Keke Maximilian Topp,Werder Bremen,de Bundesliga,2024/25,,no matching player
Andrea Mazza,Monza,it Serie A,2024/25,,no matching player
Oliver McBurnie,Las Palmas,es La Liga,2024/25,,no matching player
Alex McCarthy,Southampton,eng Premier League,2024/25,,no matching player
Jakov Medić,Bochum,de Bundesliga,2024/25,,no matching player
Ben Mee,Brentford,eng Premier League,2024/25,,no matching player
Mohamed Meité,Rennes,fr Ligue 1,2024/25,,no matching player
Mateo Mejía,Sevilla,es La Liga,2024/25,,no matching player
Farid El Melali,Angers,fr Ligue 1,2024/25,,no matching player
Filippo Melegoni,Genoa,it Serie A,2024/25,,no matching player
Víctor Meseguer,Valladolid,es La Liga,2024/25,,no matching player
Shumaira Mheuka,Chelsea,eng Premier League,2024/25,,no matching player
Florian Micheler,Hoffenheim,de Bundesliga,2024/25,,no matching player
Miguel,Leganés,es La Liga,2024/25,,no matching player
Igor Miladinović,Saint-Étienne,fr Ligue 1,2024/25,,no matching player
Kim Min-jae,Bayern Munich,de Bundesliga,2024/25,,no matching player
Lucas Mincarelli,Montpellier,fr Ligue 1,2024/25,,no matching player
Kim Minsu,Girona,es La Liga,2024/25,,no matching player
Koji Miyoshi,Bochum,de Bundesliga,2024/25,,no matching player
Rui Modesto,Udinese,it Serie A,2024/25,,no matching player
David Mokwa,Hoffenheim,de Bundesliga,2024/25,,no matching player
Jeremy Monga,Leicester City,eng Premier League,2024/25,,no matching player
Álex Moreno,Nott'ham Forest,eng Premier League,2024/25,,no matching player
Xavier Moreno,Valladolid,es La Liga,2024/25,,no matching player
Sam Morsy,Ipswich Town,eng Premier League,2024/25,,no matching player
Dany Mota,Monza,it Serie A,2024/25,,no matching player
Yael Mouanga,Montpellier,fr Ligue 1,2024/25,,no matching player
Aimen Moueffek,Saint-Étienne,fr Ligue 1,2024/25,,no matching player
Divin Mubama,Manchester City,eng Premier League,2024/25,,no matching player
Mykhailo Mudryk,Chelsea,eng Premier League,2024/25,,no matching player
Kevin Müller,Heidenheim,de Bundesliga,2024/25,,no matching player
Álex Muñoz,Las Palmas,es La Liga,2024/25,,no matching player
Javier Muñoz,Las Palmas,es La Liga,2024/25,,no matching player
Almoatasem Al Musrati,Monaco,fr Ligue 1,2024/25,,no matching player
Joakim Mæhle,Wolfsburg,de Bundesliga,2024/25,,no matching player
Obite N'Dicka,Roma,it Serie A,2024/25,,no matching player
Konan N'dri,Lecce,it Serie A,2024/25,,no matching player
Loïc N'Gatta,Auxerre,fr Ligue 1,2024/25,,no matching player
Nathan N'Goumou,Gladbach,de Bundesliga,2024/25,,no matching player
Djylian N'Guessan,Saint-Étienne,fr Ligue 1,2024/25,,no matching player
Stanley N'Soki,Hoffenheim,de Bundesliga,2024/25,,no matching player
Mickael Nade,Saint-Étienne,fr Ligue 1,2024/25,,no matching player
Yael Nandjou,Nice,fr Ligue 1,2024/25,,no matching player
Matija Nastasić,Leganés,es La Liga,2024/25,,no matching player
Roberto Navarro,Mallorca,es La Liga,2024/25,,no matching player
Jesús Navas,Sevilla,es La Liga,2024/25,,no matching player
Michel Ndary Adopo,Cagliari,it Serie A,2024/25,,no matching player
Junior Ndiaye,Montpellier,fr Ligue 1,2024/25,,no matching player
Wilfried Ndollo,Montpellier,fr Ligue 1,2024/25,,no matching player
Ivan Nekić,Holstein Kiel,de Bundesliga,2024/25,,no matching player
Mikayil Ngor Faye,Rennes,fr Ligue 1,2024/25,,no matching player
Abdoulaye Niakhate Ndiaye,Brest,fr Ligue 1,2024/25,,no matching player
Ibrahima Niane,Angers,fr Ligue 1,2024/25,,no matching player
Oliver Nielsen,Lazio,it Serie A,2024/25,,no matching player
Eybi Nije,Torino,it Serie A,2024/25,,no matching player
Adrian Niño,Atlético Madrid,es La Liga,2024/25,,no matching player
Hugo Novoa,Alavés,es La Liga,2024/25,,no matching player
Plamedi Nsingi,Nantes,fr Ligue 1,2024/25,,no matching player
Gustavo Nunes,Brentford,eng Premier League,2024/25,,no matching player
Rabby Nzingoula,Montpellier,fr Ligue 1,2024/25,,no matching player
Marwann Nzuzi,Saint-Étienne,fr Ligue 1,2024/25,,no matching player
Chidozie Obi-Martin,Manchester Utd,eng Premier League,2024/25,,no matching player
Ifechukwu Ogbus,Freiburg,de Bundesliga,2024/25,,no matching player
Thiago Ojeda,Villarreal,es La Liga,2024/25,,no matching player
Caleb Okoli,Leicester City,eng Premier League,2024/25,,no matching player
Joseph Okumu,Reims,fr Ligue 1,2024/25,,no matching player
Aingeru Olabarrieta,Athletic Club,es La Liga,2024/25,,no matching player
Olasagasti,Real Sociedad,es La Liga,2024/25,,no matching player
Finn Ole Becker,Hoffenheim,de Bundesliga,2024/25,,no matching player
Brian Oliván,Espanyol,es La Liga,2024/25,,no matching player
Lucas Oliveira Rosa,Valladolid,es La Liga,2024/25,,no matching player
Victor Orakpo,Nice,fr Ligue 1,2024/25,,no matching player
Ike Orazi,Reims,fr Ligue 1,2024/25,,no matching player
Ivan Ordets,Bochum,de Bundesliga,2024/25,,no matching player
Lewis Orford,West Ham,eng Premier League,2024/25,,no matching player
Gabriel Osei Misehouy,Girona,es La Liga,2024/25,,no matching player
Gabriel Osho,Auxerre,fr Ligue 1,2024/25,,no matching player
Jibril Othman,Saint-Étienne,fr Ligue 1,2024/25,,no matching player
David Otorbi,Valencia,es La Liga,2024/25,,no matching player
Guimissongui Ouattara,Strasbourg,fr Ligue 1,2024/25,,no matching player
Remi Oudin,Lecce,it Serie A,2024/25,,no matching player
Zinédine Ould Khaled,Angers,fr Ligue 1,2024/25,,no matching player
Cheick Oumar Conde,Venezia,it Serie A,2024/25,,no matching player
Jesús Owono,Alavés,es La Liga,2024/25,,no matching player
Nico O’Reilly,Manchester City,eng Premier League,2024/25,,no matching player
Simone Pafundi,Udinese,it Serie A,2024/25,,no matching player
Isaac Palazón Camacho,Rayo Vallecano,es La Liga,2024/25,,no matching player
Nicolas Pallois,Nantes,fr Ligue 1,2024/25,,no matching player
Matteo Palma,Udinese,it Serie A,2024/25,,no matching player
Alex Palmer,Ipswich Town,eng Premier League,2024/25,,no matching player
Emerson Palmieri,West Ham,eng Premier League,2024/25,,no matching player
Mats Pannewig,Bochum,de Bundesliga,2024/25,,no matching player
Daniel Parejo,Villarreal,es La Liga,2024/25,,no matching player
Iago Parente,Valladolid,es La Liga,2024/25,,no matching player
Álvaro Pascual,Sevilla,es La Liga,2024/25,,no matching player
Rui Patrício,Atalanta,it Serie A,2024/25,,no matching player
Nicolas Pays,Montpellier,fr Ligue 1,2024/25,,no matching player
Kévin Pedro,Saint-Étienne,fr Ligue 1,2024/25,,no matching player
Jordan Pefok,Reims,fr Ligue 1,2024/25,,no matching player
Jordan Pefok,Union Berlin,de Bundesliga,2024/25,,no matching player
Pejiño,Las Palmas,es La Liga,2024/25,,no matching player
Pietro Pellegri,Empoli,it Serie A,2024/25,,no matching player
Théo Pellenard,Auxerre,fr Ligue 1,2024/25,,no matching player
Faris Pemi Moumbagna,Marseille,fr Ligue 1,2024/25,,no matching player
Rubén Peña,Osasuna,es La Liga,2024/25,,no matching player
Peque,Sevilla,es La Liga,2024/25,,no matching player
Ricardo Pereira,Leicester City,eng Premier League,2024/25,,no matching player
Gastón Pereiro,Genoa,it Serie A,2024/25,,no matching player
Francisco Perez,Valencia,es La Liga,2024/25,,no matching player
Kike Pérez,Venezia,it Serie A,2024/25,,no matching player
Kike Pérez,Valladolid,es La Liga,2024/25,,no matching player
Noah Pesch,Gladbach,de Bundesliga,2024/25,,no matching player
Matteo Pessina,Monza,it Serie A,2024/25,,no matching player
Andrea Petagna,Monza,it Serie A,2024/25,,no matching player
Đorđe Petrović,Strasbourg,fr Ligue 1,2024/25,,no matching player
Valentín Pezzolesi,Las Palmas,es La Liga,2024/25,,no matching player
Kalvin Phillips,Ipswich Town,eng Premier League,2024/25,,no matching player
Jaden Philogene Bidace,Aston Villa,eng Premier League,2024/25,,no matching player
Jaden Philogene Bidace,Ipswich Town,eng Premier League,2024/25,,no matching player
Pica,Alavés,es La Liga,2024/25,,no matching player
Benedikt Pichler,Holstein Kiel,de Bundesliga,2024/25,,no matching player
Nicholas Pierini,Venezia,it Serie A,2024/25,,no matching player
Balthazar Pierret,Lecce,it Serie A,2024/25,,no matching player
Yeremi Pino,Villarreal,es La Liga,2024/25,,no matching player
Nicola Pintus,Cagliari,it Serie A,2024/25,,no matching player
Semuel Pizzignacco,Monza,it Serie A,2024/25,,no matching player
Joel Pohjanpalo,Venezia,it Serie A,2024/25,,no matching player
Alfie Pond,Wolves,eng Premier League,2024/25,,no matching player
Finn Porath,Holstein Kiel,de Bundesliga,2024/25,,no matching player
Tom Pouilly,Lens,fr Ligue 1,2024/25,,no matching player
Ivan Prtajin,Union Berlin,de Bundesliga,2024/25,,no matching player
Tymoteusz Puchacz,Holstein Kiel,de Bundesliga,2024/25,,no matching player
Diego Pugno,Juventus,it Serie A,2024/25,,no matching player
Hamza Rafia,Lecce,it Serie A,2024/25,,no matching player
Hákon Rafn Valdimarsson,Brentford,eng Premier League,2024/25,,no matching player
Arnau Rafús,Valladolid,es La Liga,2024/25,,no matching player
Antonio Raimondo,Venezia,it Serie A,2024/25,,no matching player
Benito Ramírez,Las Palmas,es La Liga,2024/25,,no matching player
Sandro Ramírez,Las Palmas,es La Liga,2024/25,,no matching player
Grant Ranos,Gladbach,de Bundesliga,2024/25,,no matching player
Abderrahman Rebbach,Alavés,es La Liga,2024/25,,no matching player
Remy Rees-Dottin,Bournemouth,eng Premier League,2024/25,,no matching player
Pepe Reina,Como,it Serie A,2024/25,,no matching player
Daniel Requena,Villarreal,es La Liga,2024/25,,no matching player
Gio Reyna,Dortmund,de Bundesliga,2024/25,,no matching player
Alexsandro Ribeiro,Lille,fr Ligue 1,2024/25,,no matching player
Alberto Risco,Getafe,es La Liga,2024/25,,no matching player
Gorka Rivera Alonso,Getafe,es La Liga,2024/25,,no matching player
Jay Robinson,Southampton,eng Premier League,2024/25,,no matching player
Adrian Rodriguez,Alavés,es La Liga,2024/25,,no matching player
Óscar Rodríguez Arnaiz,Leganés,es La Liga,2024/25,,no matching player
Arturo Rodríguez,Las Palmas,es La Liga,2024/25,,no matching player
Damián Rodríguez,Celta Vigo,es La Liga,2024/25,,no matching player
Dani Rodríguez,Mallorca,es La Liga,2024/25,,no matching player
Daniel Rodriguez,Barcelona,es La Liga,2024/25,,no matching player
Jesus Rodríguez,Betis,es La Liga,2024/25,,no matching player
Kirian Rodríguez,Las Palmas,es La Liga,2024/25,,no matching player
Oriol Romeu,Girona,es La Liga,2024/25,,no matching player
Lasse Rosenboom,Holstein Kiel,de Bundesliga,2024/25,,no matching player
Jonas Rouhi,Juventus,it Serie A,2024/25,,no matching player
Jérôme Roussillon,Union Berlin,de Bundesliga,2024/25,,no matching player
Jon Rowe,Marseille,fr Ligue 1,2024/25,,no matching player
Tommaso Rubino,Fiorentina,it Serie A,2024/25,,no matching player
Ferrán Ruiz,Girona,es La Liga,2024/25,,no matching player
Fabián Ruiz Peña,Paris S-G,fr Ligue 1,2024/25,,no matching player
Frederik Rønnow,Union Berlin,de Bundesliga,2024/25,,no matching player
Elias Saad,St. Pauli,de Bundesliga,2024/25,,no matching player
Youssouf Sabaly,Betis,es La Liga,2024/25,,no matching player
Falaye Sacko,Montpellier,fr Ligue 1,2024/25,,no matching player
Jorge Sáenz,Leganés,es La Liga,2024/25,,no matching player
Matvei Safonov,Paris S-G,fr Ligue 1,2024/25,,no matching player
Richie Sagrado,Venezia,it Serie A,2024/25,,no matching player
Théo Sainte-Luce,Montpellier,fr Ligue 1,2024/25,,no matching player
Faik Sakar,RB Leipzig,de Bundesliga,2024/25,,no matching player
Marco Sala,Como,it Serie A,2024/25,,no matching player
Marco Sala,Lecce,it Serie A,2024/25,,no matching player
Yoann Salmier,Le Havre,fr Ligue 1,2024/25,,no matching player
Mama Samba Baldé,Lyon,fr Ligue 1,2024/25,,no matching player
Mama Samba Baldé,Brest,fr Ligue 1,2024/25,,no matching player
Junior Sambia,Empoli,it Serie A,2024/25,,no matching player
Chuky san jose,Valladolid,es La Liga,2024/25,,no matching player
Iván Sánchez,Valladolid,es La Liga,2024/25,,no matching player
Nicola Sansone,Lecce,it Serie A,2024/25,,no matching player
Jesús Santiago,Getafe,es La Liga,2024/25,,no matching player
Pablo Sarabia,Wolves,eng Premier League,2024/25,,no matching player
Jeremy Sarmiento,Brighton,eng Premier League,2024/25,,no matching player
Téji Savanier,Montpellier,fr Ligue 1,2024/25,,no matching player
Sávio,Manchester City,eng Premier League,2024/25,,no matching player
Joël Schingtienne,Venezia,it Serie A,2024/25,,no matching player
Jeffrey Schlupp,Crystal Palace,eng Premier League,2024/25,,no matching player
Niklas Schmidt,Toulouse,fr Ligue 1,2024/25,,no matching player
Marvin Schulz,Holstein Kiel,de Bundesliga,2024/25,,no matching player
Léo Scienza,Heidenheim,de Bundesliga,2024/25,,no matching player
Jérémy Sebas,Strasbourg,fr Ligue 1,2024/25,,no matching player
Aleksandar Sedlar,Alavés,es La Liga,2024/25,,no matching player
Jacopo Seghetti,Empoli,it Serie A,2024/25,,no matching player
Stefano Sensi,Monza,it Serie A,2024/25,,no matching player
Sergi,Leganés,es La Liga,2024/25,,no matching player
Nicolás Serrano,Athletic Club,es La Liga,2024/25,,no matching player
Zain Silcott-Duberry,Bournemouth,eng Premier League,2024/25,,no matching player
André Silva,Werder Bremen,de Bundesliga,2024/25,,no matching player
André Silva,RB Leipzig,de Bundesliga,2024/25,,no matching player
Caio Henrique Oliveira Silva,Monaco,fr Ligue 1,2024/25,,no matching player
Jailson Siqueira,Celta Vigo,es La Liga,2024/25,,no matching player
Ayanda Sishuba,Rennes,fr Ligue 1,2024/25,,no matching player
Ibrahim Sissoko,Saint-Étienne,fr Ligue 1,2024/25,,no matching player
Niama Sissoko,Reims,fr Ligue 1,2024/25,,no matching player
Oliver Skipp,Leicester City,eng Premier League,2024/25,,no matching player
Leo Skiri Østigård,Rennes,fr Ligue 1,2024/25,,no matching player
Leo Skiri Østigård,Hoffenheim,de Bundesliga,2024/25,,no matching player
Łukasz Skorupski,Bologna,it Serie A,2024/25,,no matching player
Steven Skrzybski,Holstein Kiel,de Bundesliga,2024/25,,no matching player
Naatan Skyttä,Toulouse,fr Ligue 1,2024/25,,no matching player
William Smallbone,Southampton,eng Premier League,2024/25,,no matching player
Justin Smith,Espanyol,es La Liga,2024/25,,no matching player
Arnau Solà,Villarreal,es La Liga,2024/25,,no matching player
Juan Soriano,Leganés,es La Liga,2024/25,,no matching player
Boubakary Soumaré,Leicester City,eng Premier League,2024/25,,no matching player
Saidou Sow,Strasbourg,fr Ligue 1,2024/25,,no matching player
Saidou Sow,Nantes,fr Ligue 1,2024/25,,no matching player
Filip Stankovic,Venezia,it Serie A,2024/25,,no matching player
Jay Stansfield,Fulham,eng Premier League,2024/25,,no matching player
Lucas Stassin,Saint-Étienne,fr Ligue 1,2024/25,,no matching player
Orri Steinn Óskarsson,Real Sociedad,es La Liga,2024/25,,no matching player
Jack Stephens,Southampton,eng Premier League,2024/25,,no matching player
Enzo Sternal,Marseille,fr Ligue 1,2024/25,,no matching player
Finley Stevens,St. Pauli,de Bundesliga,2024/25,,no matching player
Ross Stewart,Southampton,eng Premier League,2024/25,,no matching player
Stoichkov,Alavés,es La Liga,2024/25,,no matching player
Jakub Stolarczyk,Leicester City,eng Premier League,2024/25,,no matching player
Álex Suárez,Las Palmas,es La Liga,2024/25,,no matching player
Suso,Sevilla,es La Liga,2024/25,,no matching player
Marin Šverko,Venezia,it Serie A,2024/25,,no matching player
Michael Svoboda,Venezia,it Serie A,2024/25,,no matching player
Musa Al-Taamari,Montpellier,fr Ligue 1,2024/25,,no matching player
Musa Al-Taamari,Rennes,fr Ligue 1,2024/25,,no matching player
Florian Tardieu,Saint-Étienne,fr Ligue 1,2024/25,,no matching player
Matt Targett,Newcastle Utd,eng Premier League,2024/25,,no matching player
Charlie Taylor,Southampton,eng Premier League,2024/25,,no matching player
Enzo Tchato,Montpellier,fr Ligue 1,2024/25,,no matching player
Martín Tejón,Valencia,es La Liga,2024/25,,no matching player
Norman Theuerkauf,Heidenheim,de Bundesliga,2024/25,,no matching player
Thiago,Brentford,eng Premier League,2024/25,,no matching player
Denis Thomalla,Heidenheim,de Bundesliga,2024/25,,no matching player
Luke Thomas,Leicester City,eng Premier League,2024/25,,no matching player
Cheikh Tidiane Niasse,Hellas Verona,it Serie A,2024/25,,no matching player
Umut Tohumcu,Hoffenheim,de Bundesliga,2024/25,,no matching player
Raúl de Tomás,Rayo Vallecano,es La Liga,2024/25,,no matching player
Luka Topalović,Inter,it Serie A,2024/25,,no matching player
David Torres,Valladolid,es La Liga,2024/25,,no matching player
Lorenzo Tosto,Empoli,it Serie A,2024/25,,no matching player
Birama Touré,Montpellier,fr Ligue 1,2024/25,,no matching player
Souleymane Touré,Udinese,it Serie A,2024/25,,no matching player
Conor Townsend,Ipswich Town,eng Premier League,2024/25,,no matching player
Adama Traoré,Fulham,eng Premier League,2024/25,,no matching player
Ryan Trevitt,Brentford,eng Premier League,2024/25,,no matching player
Kostas Tsimikas,Liverpool,eng Premier League,2024/25,,no matching player
Viktor Tsyhankov,Girona,es La Liga,2024/25,,no matching player
Tuta,Eint Frankfurt,de Bundesliga,2024/25,,no matching player
Manuel Ugarte Ribeiro,Manchester Utd,eng Premier League,2024/25,,no matching player
Jesús Vallejo,Real Madrid,es La Liga,2024/25,,no matching player
Mattia Valoti,Monza,it Serie A,2024/25,,no matching player
José Luis García Vayá,Valencia,es La Liga,2024/25,,no matching player
Simone Verdi,Como,it Serie A,2024/25,,no matching player
Jordan Veretout,Lyon,fr Ligue 1,2024/25,,no matching player
Ben Viadere,Auxerre,fr Ligue 1,2024/25,,no matching player
Carlos Vicente,Alavés,es La Liga,2024/25,,no matching player
Fran Vieites,Betis,es La Liga,2024/25,,no matching player
Sergio Viera,Las Palmas,es La Liga,2024/25,,no matching player
Asier Villalibre,Alavés,es La Liga,2024/25,,no matching player
Nicolas Viola,Cagliari,it Serie A,2024/25,,no matching player
Viti,Las Palmas,es La Liga,2024/25,,no matching player
Mattia Viti,Empoli,it Serie A,2024/25,,no matching player
Vitinha,Paris S-G,fr Ligue 1,2024/25,,no matching player
Daniel Vivian,Athletic Club,es La Liga,2024/25,,no matching player
Krapyvtsov Vladyslav,Girona,es La Liga,2024/25,,no matching player
Vanja Vlahović,Atalanta,it Serie A,2024/25,,no matching player
Kevin Vogt,Union Berlin,de Bundesliga,2024/25,,no matching player
Kevin Volland,Union Berlin,de Bundesliga,2024/25,,no matching player
Ibrahima Wadji,Saint-Étienne,fr Ligue 1,2024/25,,no matching player
Robert Wagner,St. Pauli,de Bundesliga,2024/25,,no matching player
Christian Walton,Ipswich Town,eng Premier League,2024/25,,no matching player
Joel Ward,Crystal Palace,eng Premier League,2024/25,,no matching player
Kjell-Arik Wätjen,Dortmund,de Bundesliga,2024/25,,no matching player
Timon Weiner,Holstein Kiel,de Bundesliga,2024/25,,no matching player
Noah Weißhaupt,St. Pauli,de Bundesliga,2024/25,,no matching player
Noah Weißhaupt,Freiburg,de Bundesliga,2024/25,,no matching player
Welington,Southampton,eng Premier League,2024/25,,no matching player
Harry Winks,Leicester City,eng Premier League,2024/25,,no matching player
Ben Winterburn,Bournemouth,eng Premier League,2024/25,,no matching player
Maximilian Wittek,Bochum,de Bundesliga,2024/25,,no matching player
Jeong Woo-yeong,Union Berlin,de Bundesliga,2024/25,,no matching player
Nathan Wood-Gordon,Southampton,eng Premier League,2024/25,,no matching player
Luke Woolfenden,Ipswich Town,eng Premier League,2024/25,,no matching player
Daniel Yáñez,Real Madrid,es La Liga,2024/25,,no matching player
Erencan Yardimci,Hoffenheim,de Bundesliga,2024/25,,no matching player
Yehor Yarmoliuk,Brentford,eng Premier League,2024/25,,no matching player
John Yeboah,Venezia,it Serie A,2024/25,,no matching player
Ashley Young,Everton,eng Premier League,2024/25,,no matching player
Illia Zabarnyi,Bournemouth,eng Premier League,2024/25,,no matching player
Eloge Zabi,Reims,fr Ligue 1,2024/25,,no matching player
Yoram Zague,Paris S-G,fr Ligue 1,2024/25,,no matching player
Andre-Frank Zambo Anguissa,Napoli,it Serie A,2024/25,,no matching player
Francesco Zampano,Venezia,it Serie A,2024/25,,no matching player
David Zec,Holstein Kiel,de Bundesliga,2024/25,,no matching player
Kevin Zeroli,Monza,it Serie A,2024/25,,no matching player
Kevin Zeroli,Milan,it Serie A,2024/25,,no matching player
Aristide Zossou,Auxerre,fr Ligue 1,2024/25,,no matching player
Edhy Zuliani,Toulouse,fr Ligue 1,2024/25,,no matching player
Szymon Żurkowski,Empoli,it Serie A,2024/25,,no matching player
Milan Đurić,Monza,it Serie A,2024/25,,no matching player
Milan Đurić,Parma,it Serie A,2024/25,,no matching player
